Daily Observed Min/Max Temperature & Precipitation
,JFK NY - KJFK,,,
Date,Min,Max,Avg,Precip
4-Mar-2010,36,49,42.5,-
5-Mar-2010,34,49,41.5,-
6-Mar-2010,31,55,43.0,-
7-Mar-2010,35,59,47.0,-
8-Mar-2010,39,63,51.0,-
9-Mar-2010,40,62,51.0,-
10-Mar-2010,37,54,45.5,-
11-Mar-2010,43,53,48.0,-
12-Mar-2010,42,48,45.0,0.49
13-Mar-2010,40,52,46.0,1.79
14-Mar-2010,42,50,46.0,0.31
15-Mar-2010,42,45,43.5,0.32
16-Mar-2010,41,63,52.0,-
17-Mar-2010,37,63,50.0,-
18-Mar-2010,40,66,53.0,-
19-Mar-2010,42,69,55.5,-
20-Mar-2010,45,70,57.5,-
21-Mar-2010,45,58,51.5,-
22-Mar-2010,48,57,52.5,1.05
23-Mar-2010,45,51,48.0,0.08
24-Mar-2010,43,62,52.5,-
25-Mar-2010,41,53,47.0,-
26-Mar-2010,34,55,44.5,0.06
27-Mar-2010,29,40,34.5,-
28-Mar-2010,35,48,41.5,0.13
29-Mar-2010,47,52,49.5,1.83
30-Mar-2010,43,52,47.5,2.34
31-Mar-2010,44,59,51.5,0.01
1-Apr-2010,45,63,54.0,-
2-Apr-2010,42,61,51.5,-
3-Apr-2010,44,51,47.5,-
4-Apr-2010,47,73,60.0,-
5-Apr-2010,52,68,60.0,-
6-Apr-2010,51,73,62.0,-
7-Apr-2010,52,87,69.5,-
8-Apr-2010,53,69,61.0,-
9-Apr-2010,46,62,54.0,0.41
10-Apr-2010,42,62,52.0,-
11-Apr-2010,46,73,59.5,-
12-Apr-2010,46,67,56.5,-
13-Apr-2010,45,55,50.0,-
14-Apr-2010,43,65,54.0,-
15-Apr-2010,49,73,61.0,-
16-Apr-2010,46,52,49.0,0.44
17-Apr-2010,46,55,50.5,0.01
18-Apr-2010,44,58,51.0,-
19-Apr-2010,47,63,55.0,-
20-Apr-2010,48,67,57.5,-
21-Apr-2010,47,64,55.5,0.06
22-Apr-2010,50,66,58.0,0.09
23-Apr-2010,44,69,56.5,-
24-Apr-2010,48,63,55.5,-
25-Apr-2010,46,52,49.0,1.55
26-Apr-2010,49,53,51.0,0.77
27-Apr-2010,42,60,51.0,0.05
28-Apr-2010,40,57,48.5,-
29-Apr-2010,47,71,59.0,-
30-Apr-2010,50,74,62.0,-
1-May-2010,54,80,67.0,-
2-May-2010,58,75,66.5,-
3-May-2010,61,80,70.5,0.67
4-May-2010,58,81,69.5,0.01
5-May-2010,54,75,64.5,-
6-May-2010,54,80,67.0,-
7-May-2010,53,68,60.5,-
8-May-2010,51,78,64.5,-
9-May-2010,45,56,50.5,-
10-May-2010,42,62,52.0,-
11-May-2010,43,57,50.0,0.01
12-May-2010,45,49,47.0,0.34
13-May-2010,43,63,53.0,-
14-May-2010,52,77,64.5,-
15-May-2010,60,75,67.5,-
16-May-2010,55,74,64.5,-
17-May-2010,52,75,63.5,-
18-May-2010,51,59,55.0,0.90
19-May-2010,51,67,59.0,-
20-May-2010,55,72,63.5,-
21-May-2010,58,85,71.5,-
22-May-2010,58,70,64.0,-
23-May-2010,63,73,68.0,-
24-May-2010,60,73,66.5,0.05
25-May-2010,57,74,65.5,-
26-May-2010,61,91,76.0,-
27-May-2010,56,84,70.0,0.01
28-May-2010,56,68,62.0,-
29-May-2010,59,70,64.5,-
30-May-2010,65,88,76.5,-
31-May-2010,66,84,75.0,-
1-Jun-2010,65,87,76.0,0.04
2-Jun-2010,64,81,72.5,-
3-Jun-2010,64,88,76.0,-
4-Jun-2010,70,88,79.0,-
5-Jun-2010,70,90,80.0,-
6-Jun-2010,62,89,75.5,-
7-Jun-2010,58,79,68.5,-
8-Jun-2010,59,76,67.5,-
9-Jun-2010,53,68,60.5,0.99
10-Jun-2010,58,75,66.5,0.02
11-Jun-2010,58,71,64.5,-
12-Jun-2010,61,74,67.5,-
13-Jun-2010,66,80,73.0,0.03
14-Jun-2010,65,74,69.5,0.02
15-Jun-2010,62,79,70.5,-
16-Jun-2010,60,74,67.0,-
17-Jun-2010,66,78,72.0,0.08
18-Jun-2010,62,83,72.5,-
19-Jun-2010,61,77,69.0,-
20-Jun-2010,68,91,79.5,-
21-Jun-2010,74,91,82.5,-
22-Jun-2010,71,84,77.5,0.18
23-Jun-2010,71,94,82.5,-
24-Jun-2010,76,97,86.5,-
25-Jun-2010,71,85,78.0,-
26-Jun-2010,69,91,80.0,-
27-Jun-2010,72,87,79.5,-
28-Jun-2010,76,98,87.0,-
29-Jun-2010,72,93,82.5,-
30-Jun-2010,64,81,72.5,-
1-Jul-2010,64,81,72.5,-
2-Jul-2010,62,83,72.5,-
3-Jul-2010,66,87,76.5,-
4-Jul-2010,69,101,85.0,-
5-Jul-2010,71,97,84.0,-
6-Jul-2010,75,101,88.0,-
7-Jul-2010,77,100,88.5,-
8-Jul-2010,76,87,81.5,-
9-Jul-2010,74,87,80.5,-
10-Jul-2010,74,83,78.5,-
11-Jul-2010,73,90,81.5,-
12-Jul-2010,71,90,80.5,-
13-Jul-2010,74,83,78.5,0.85
14-Jul-2010,75,82,78.5,0.29
15-Jul-2010,73,86,79.5,-
16-Jul-2010,74,87,80.5,-
17-Jul-2010,79,93,86.0,-
18-Jul-2010,77,95,86.0,-
19-Jul-2010,74,88,81.0,0.58
20-Jul-2010,75,89,82.0,-
21-Jul-2010,76,90,83.0,-
22-Jul-2010,75,91,83.0,-
23-Jul-2010,74,84,79.0,0.61
24-Jul-2010,80,97,88.5,-
25-Jul-2010,74,93,83.5,0.08
26-Jul-2010,68,89,78.5,-
27-Jul-2010,71,90,80.5,-
28-Jul-2010,71,86,78.5,-
29-Jul-2010,74,87,80.5,0.03
30-Jul-2010,68,80,74.0,-
31-Jul-2010,64,81,72.5,-
1-Aug-2010,69,80,74.5,-
2-Aug-2010,68,81,74.5,-
3-Aug-2010,71,83,77.0,-
4-Aug-2010,73,85,79.0,-
5-Aug-2010,74,96,85.0,-
6-Aug-2010,69,91,80.0,-
7-Aug-2010,64,83,73.5,-
8-Aug-2010,70,86,78.0,-
9-Aug-2010,72,87,79.5,-
10-Aug-2010,75,89,82.0,-
11-Aug-2010,75,93,84.0,-
12-Aug-2010,70,76,73.0,0.01
13-Aug-2010,68,80,74.0,-
14-Aug-2010,62,78,70.0,-
15-Aug-2010,69,79,74.0,0.01
16-Aug-2010,71,84,77.5,0.14
17-Aug-2010,73,90,81.5,-
18-Aug-2010,71,81,76.0,-
19-Aug-2010,67,86,76.5,-
20-Aug-2010,72,92,82.0,-
21-Aug-2010,67,83,75.0,-
22-Aug-2010,69,79,74.0,1.77
23-Aug-2010,65,71,68.0,0.22
24-Aug-2010,64,70,67.0,0.10
25-Aug-2010,64,70,67.0,0.87
26-Aug-2010,67,84,75.5,-
