State,year,week,ILITOTAL
California,2012,28,390
Colorado,2012,28,68
Georgia,2012,28,221
Illinois,2012,28,396
New York,2012,28,8
Pennsylvania,2012,28,49
Texas,2012,28,467
Washington,2012,28,12
Arizona,2012,29,67
California,2012,29,357
Colorado,2012,29,69
Georgia,2012,29,222
Illinois,2012,29,397
New York,2012,29,7
Pennsylvania,2012,29,57
Texas,2012,29,471
Washington,2012,29,12
Arizona,2012,30,77
California,2012,30,354
Colorado,2012,30,72
Georgia,2012,30,231
Illinois,2012,30,429
New York,2012,30,5
Pennsylvania,2012,30,71
Texas,2012,30,438
Washington,2012,30,13
Arizona,2012,31,102
California,2012,31,362
Colorado,2012,31,59
Georgia,2012,31,210
Illinois,2012,31,490
New York,2012,31,9
Pennsylvania,2012,31,52
Texas,2012,31,491
Washington,2012,31,7
Arizona,2012,32,127
California,2012,32,343
Colorado,2012,32,62
Georgia,2012,32,281
Illinois,2012,32,378
New York,2012,32,5
Pennsylvania,2012,32,46
Texas,2012,32,500
Washington,2012,32,14
Arizona,2012,33,116
California,2012,33,160
Colorado,2012,33,72
Georgia,2012,33,335
Illinois,2012,33,442
New York,2012,33,7
Pennsylvania,2012,33,55
Texas,2012,33,519
Washington,2012,33,11
Arizona,2012,34,142
California,2012,34,411
Colorado,2012,34,95
Georgia,2012,34,483
Illinois,2012,34,518
New York,2012,34,4
Pennsylvania,2012,34,68
Texas,2012,34,561
Washington,2012,34,8
Arizona,2012,35,179
California,2012,35,525
Colorado,2012,35,110
Georgia,2012,35,414
Illinois,2012,35,579
New York,2012,35,7
Pennsylvania,2012,35,65
Texas,2012,35,542
Washington,2012,35,7
Arizona,2012,36,133
California,2012,36,543
Colorado,2012,36,89
Georgia,2012,36,215
Illinois,2012,36,503
New York,2012,36,8
Pennsylvania,2012,36,66
Texas,2012,36,579
Washington,2012,36,13
Arizona,2012,37,137
California,2012,37,627
Colorado,2012,37,97
Georgia,2012,37,226
Illinois,2012,37,687
New York,2012,37,15
Pennsylvania,2012,37,117
Texas,2012,37,780
Washington,2012,37,9
Arizona,2012,38,137
California,2012,38,678
Colorado,2012,38,102
Georgia,2012,38,211
Illinois,2012,38,607
New York,2012,38,9
Pennsylvania,2012,38,97
Texas,2012,38,782
Washington,2012,38,18
Arizona,2012,39,122
California,2012,39,656
Colorado,2012,39,132
Georgia,2012,39,230
Illinois,2012,39,644
New York,2012,39,24
Pennsylvania,2012,39,109
Texas,2012,39,778
Washington,2012,39,18
Arizona,2012,40,132
California,2012,40,720
Colorado,2012,40,102
Georgia,2012,40,261
Illinois,2012,40,696
New York,2012,40,48
Pennsylvania,2012,40,213
Texas,2012,40,794
Washington,2012,40,38
Arizona,2012,41,136
California,2012,41,781
Colorado,2012,41,115
Georgia,2012,41,308
Illinois,2012,41,734
New York,2012,41,94
Pennsylvania,2012,41,171
Texas,2012,41,951
Washington,2012,41,40
Arizona,2012,42,194
California,2012,42,840
Colorado,2012,42,98
Georgia,2012,42,278
Illinois,2012,42,789
New York,2012,42,156
Pennsylvania,2012,42,219
Texas,2012,42,768
Washington,2012,42,49
Arizona,2012,43,139
California,2012,43,812
Colorado,2012,43,101
Georgia,2012,43,364
Illinois,2012,43,765
New York,2012,43,124
Pennsylvania,2012,43,201
Texas,2012,43,981
Washington,2012,43,47
