State,year,week,Total Positives
Georgia,2012,39,26
Illinois,2012,39,0
New York,2012,39,0
Pennsylvania,2012,39,2
Texas,2012,39,4
Washington,2012,39,4
Arizona,2012,40,1
California,2012,40,5
Colorado,2012,40,0
Georgia,2012,40,33
Illinois,2012,40,0
New York,2012,40,3
Pennsylvania,2012,40,2
Texas,2012,40,21
Washington,2012,40,8
Arizona,2012,41,0
California,2012,41,1
Colorado,2012,41,2
Georgia,2012,41,30
Illinois,2012,41,0
New York,2012,41,5
Pennsylvania,2012,41,4
Texas,2012,41,16
Washington,2012,41,5
Arizona,2012,42,1
California,2012,42,0
Colorado,2012,42,4
Georgia,2012,42,23
Illinois,2012,42,0
New York,2012,42,16
Pennsylvania,2012,42,1
Texas,2012,42,21
Washington,2012,42,6
Arizona,2012,43,2
California,2012,43,4
Colorado,2012,43,6
Georgia,2012,43,25
Illinois,2012,43,0
New York,2012,43,18
Pennsylvania,2012,43,4
Texas,2012,43,20
Washington,2012,43,7
Arizona,2012,44,2
California,2012,44,2
Colorado,2012,44,18
Georgia,2012,44,42
Illinois,2012,44,0
New York,2012,44,13
Pennsylvania,2012,44,1
Texas,2012,44,38
Washington,2012,44,12
Arizona,2012,45,2
California,2012,45,4
Colorado,2012,45,29
Georgia,2012,45,62
Illinois,2012,45,3
New York,2012,45,15
Pennsylvania,2012,45,4
Texas,2012,45,70
Washington,2012,45,16
Arizona,2012,46,14
California,2012,46,9
Colorado,2012,46,25
Georgia,2012,46,96
Illinois,2012,46,6
New York,2012,46,42
Pennsylvania,2012,46,4
Texas,2012,46,81
Washington,2012,46,24
Arizona,2012,47,17
California,2012,47,7
Colorado,2012,47,37
Georgia,2012,47,216
Illinois,2012,47,11
New York,2012,47,51
Pennsylvania,2012,47,9
Texas,2012,47,157
Washington,2012,47,34
Arizona,2012,48,26
California,2012,48,11
Colorado,2012,48,45
Georgia,2012,48,261
Illinois,2012,48,23
New York,2012,48,131
Pennsylvania,2012,48,46
Texas,2012,48,176
Washington,2012,48,37
